DSP_Pedon,Pedon_Num,DSP_Plot_ID,DSP_Pedon_ID,DSP_sample_ID,layer_no,hzdesg,hrzdep_t,hrzdep_b,Field_Texture,Coarse_Frag_volume,Clay_pct,Color_Moist_Hue,Color_Moist_Value,Color_Moist_Chroma,Color_Dry_Hue,Color_Dry_Value,Color_Dry_Chroma,Depletions_Knd,Depletions_Col_H,Depletions_Col_V,Depletions_Col_C,Ped_Surf_Feat_Knd,Ped_Surf_Feat_Amt,Ped_Surf_Feat_Loc,Conc_Knd,Conc_Qty,Conc_Size,Conc_Cont,Conc_Col_H,Conc_Col_V,Conc_Col_C,Conc_Mst,Conc_Shp,Conc_Loc,Structure_Grade,Structure_Size,Structure_Type,Consistence_RupRes_mst,Roots_Qty1,Roots_Sz1,Roots_Qty2,Roots_Sz2,Roots_Qty3,Roots_Sz3,Roots_Loc,Pores_Qty1,Pores_Sz1,Pores_Qty2,Pores_Sz2,Pores_Qty3,Pores_Sz3,Pores_Shp,Consistence_RupRes_dry,Consistence_Stk,Consistence_Pls,Roots_Qty4,Roots_Sz4,Roots_Qty5,Roots_Sz5,Pores_Qty4,Pores_Sz4,Pores_Qty5,Pores_Sz5
P1_R1a,1,CVT - 1,CVT - 1 - 1,CVT - 1 - 1-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1a,1,CVT - 1,CVT - 1 - 1,CVT - 1 - 1-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1a,1,CVT - 1,CVT - 1 - 1,CVT - 1 - 1-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1a,1,CVT - 1,CVT - 1 - 1,CVT - 1 - 1-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1b,2,CVT - 1,CVT - 1 - 2,CVT - 1 - 2-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1b,2,CVT - 1,CVT - 1 - 2,CVT - 1 - 2-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1b,2,CVT - 1,CVT - 1 - 2,CVT - 1 - 2-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1b,2,CVT - 1,CVT - 1 - 2,CVT - 1 - 2-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1b,2,CVT - 1,CVT - 1 - 2,CVT - 1 - 2-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1c,3,CVT - 1,CVT - 1 - 3,CVT - 1 - 3-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1c,3,CVT - 1,CVT - 1 - 3,CVT - 1 - 3-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1c,3,CVT - 1,CVT - 1 - 3,CVT - 1 - 3-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1c,3,CVT - 1,CVT - 1 - 3,CVT - 1 - 3-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1_R1c,3,CVT - 1,CVT - 1 - 3,CVT - 1 - 3-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1a,1,NTR - 1,NTR - 1 - 1,NTR - 1 - 1-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1a,1,NTR - 1,NTR - 1 - 1,NTR - 1 - 1-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1a,1,NTR - 1,NTR - 1 - 1,NTR - 1 - 1-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1a,1,NTR - 1,NTR - 1 - 1,NTR - 1 - 1-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1a,1,NTR - 1,NTR - 1 - 1,NTR - 1 - 1-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1b,2,NTR - 1,NTR - 1 - 2,NTR - 1 - 2-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1b,2,NTR - 1,NTR - 1 - 2,NTR - 1 - 2-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1b,2,NTR - 1,NTR - 1 - 2,NTR - 1 - 2-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1b,2,NTR - 1,NTR - 1 - 2,NTR - 1 - 2-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1b,2,NTR - 1,NTR - 1 - 2,NTR - 1 - 2-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1c,3,NTR - 1,NTR - 1 - 3,NTR - 1 - 3-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1c,3,NTR - 1,NTR - 1 - 3,NTR - 1 - 3-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1c,3,NTR - 1,NTR - 1 - 3,NTR - 1 - 3-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1c,3,NTR - 1,NTR - 1 - 3,NTR - 1 - 3-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P2_R1c,3,NTR - 1,NTR - 1 - 3,NTR - 1 - 3-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1a,1,NTM - 1,NTM - 1 - 1,NTM - 1 - 1-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1a,1,NTM - 1,NTM - 1 - 1,NTM - 1 - 1-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1a,1,NTM - 1,NTM - 1 - 1,NTM - 1 - 1-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1a,1,NTM - 1,NTM - 1 - 1,NTM - 1 - 1-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1a,1,NTM - 1,NTM - 1 - 1,NTM - 1 - 1-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1b,2,NTM - 1,NTM - 1 - 2,NTM - 1 - 2-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1b,2,NTM - 1,NTM - 1 - 2,NTM - 1 - 2-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1b,2,NTM - 1,NTM - 1 - 2,NTM - 1 - 2-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1b,2,NTM - 1,NTM - 1 - 2,NTM - 1 - 2-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1b,2,NTM - 1,NTM - 1 - 2,NTM - 1 - 2-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1c,3,NTM - 1,NTM - 1 - 3,NTM - 1 - 3-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1c,3,NTM - 1,NTM - 1 - 3,NTM - 1 - 3-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1c,3,NTM - 1,NTM - 1 - 3,NTM - 1 - 3-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1c,3,NTM - 1,NTM - 1 - 3,NTM - 1 - 3-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P3_R1c,3,NTM - 1,NTM - 1 - 3,NTM - 1 - 3-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2a,1,NTR - 2,NTR - 2 - 1,NTR - 2 - 1-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2a,1,NTR - 2,NTR - 2 - 1,NTR - 2 - 1-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2a,1,NTR - 2,NTR - 2 - 1,NTR - 2 - 1-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2a,1,NTR - 2,NTR - 2 - 1,NTR - 2 - 1-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2a,1,NTR - 2,NTR - 2 - 1,NTR - 2 - 1-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2b,2,NTR - 2,NTR - 2 - 2,NTR - 2 - 2-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2b,2,NTR - 2,NTR - 2 - 2,NTR - 2 - 2-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2b,2,NTR - 2,NTR - 2 - 2,NTR - 2 - 2-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2b,2,NTR - 2,NTR - 2 - 2,NTR - 2 - 2-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2b,2,NTR - 2,NTR - 2 - 2,NTR - 2 - 2-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2c,3,NTR - 2,NTR - 2 - 3,NTR - 2 - 3-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2c,3,NTR - 2,NTR - 2 - 3,NTR - 2 - 3-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2c,3,NTR - 2,NTR - 2 - 3,NTR - 2 - 3-3,3,Ap,10,35,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2c,3,NTR - 2,NTR - 2 - 3,NTR - 2 - 3-4,4,Bt1,35,75,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P4_R2c,3,NTR - 2,NTR - 2 - 3,NTR - 2 - 3-5,5,Bt2,75,100,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P5_R2a,1,NTM - 2,NTM - 2 - 1,NTM - 2 - 1-1,1,Ap,0,5,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P5_R2a,1,NTM - 2,NTM - 2 - 1,NTM - 2 - 1-2,2,Ap,5,10,,NA,NA,,NA,NA,,NA,NA,NA,,NA,NA,,,,,,NA,,,NA,NA,,,,NA,,,,NA,,NA,,NA,,,NA,,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
